hjd,camera,mag,mag_err,flux,flux_err
2457969.70871,bg,12.494,0.02,38.588,0.71
2457942.62072,bg,12.579,0.02,35.683,0.657
2457787.86166,bg,12.447,0.02,40.271,0.741
2457933.51847,bg,12.692,0.02,32.141,0.591
2457873.78237,bg,12.645,0.02,33.555,0.617
2457958.54776,bg,12.678,0.02,32.549,0.599
2457805.869,bg,12.673,0.02,32.697,0.602
2457911.73472,bg,12.647,0.02,33.513,0.617
2457603.56113,bg,12.542,0.02,36.92,0.679
2457894.67336,bg,12.733,0.02,30.966,0.57
2457880.72658,bg,12.471,0.02,39.397,0.725
2457626.60286,bg,12.555,0.02,36.485,0.671
2458175.82767,bg,12.677,0.02,32.601,0.6
2457813.8001,bg,12.49,0.02,38.71,0.712
2457952.66987,bg,12.606,0.02,34.802,0.64
2458207.856,bg,12.66,0.02,33.119,0.609
2458203.88117,bg,12.679,0.02,32.52,0.598
2457910.67792,bg,12.62,0.02,34.356,0.632
2458198.8367,bg,12.704,0.02,31.795,0.585
2457790.85224,bg,12.476,0.02,39.238,0.722
2457662.50689,bg,12.785,0.02,29.515,0.543
2457546.67196,bg,12.593,0.02,35.207,0.648
2457843.71958,bg,12.643,0.02,33.619,0.619
2457784.86694,bg,12.604,0.02,34.847,0.641
2458022.51814,bg,12.679,0.02,32.539,0.599
2457945.66036,bg,12.506,0.02,38.142,0.702
2458340.60008,bg,12.674,0.02,32.682,0.601
2457797.8405,bg,12.631,0.02,34.006,0.626
2457547.64423,bg,12.639,0.02,33.743,0.621
2458210.78985,bg,12.575,0.02,35.797,0.659
2458007.53684,bg,12.604,0.02,34.856,0.641
2457595.56202,bg,12.8,0.02,29.102,0.535
2457801.87967,bg,12.638,0.02,33.792,0.622
2457675.50858,bg,12.43,0.02,40.908,0.753
2457476.84976,bg,12.491,0.02,38.681,0.712
2457630.50937,bg,12.418,0.02,41.365,0.761
2457808.85504,bg,12.528,0.02,37.399,0.688
2458215.80845,bg,12.616,0.02,34.487,0.635
2457522.82709,bg,12.505,0.02,38.188,0.703
2457983.61358,bg,12.658,0.02,33.181,0.611
