HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459647.79477,2022-03-09.2948975,bk,1.42,16.278,13.271,0.014,17.840,0.232,g
2459647.79602,2022-03-09.2961523,bk,1.41,16.328,13.301,0.014,17.356,0.224,g
2459647.79726,2022-03-09.2973940,bk,1.47,16.252,13.322,0.016,17.039,0.240,g
2459647.81770,2022-03-09.3178322,bk,1.45,16.254,13.311,0.016,17.198,0.238,g
2459647.81895,2022-03-09.3190843,bk,1.43,16.294,13.311,0.015,17.208,0.229,g
2459647.82019,2022-03-09.3203202,bk,1.42,16.297,13.344,0.015,16.690,0.231,g
2459648.75250,2022-03-10.2525332,bk,1.46,16.313,13.332,0.015,16.884,0.227,g
2459648.75374,2022-03-10.2537761,bk,1.43,16.211,13.252,0.015,18.171,0.246,g
2459648.75499,2022-03-10.2550304,bk,1.48,16.245,13.298,0.015,17.411,0.246,g
2459648.77153,2022-03-10.2715704,bk,1.55,16.232,13.302,0.016,17.337,0.247,g
2459648.77278,2022-03-10.2728111,bk,1.52,16.264,13.270,0.014,17.862,0.235,g
2459648.77402,2022-03-10.2740564,bk,1.51,16.193,13.309,0.015,17.240,0.248,g
2459649.74861,2022-03-11.2485569,bk,1.45,16.267,13.228,0.014,18.582,0.236,g
2459649.74986,2022-03-11.2498021,bk,1.50,16.230,13.221,0.015,18.689,0.246,g
2459649.75110,2022-03-11.2510452,bk,1.53,16.211,13.288,0.016,17.578,0.249,g
2459649.78839,2022-03-11.2883277,bG,1.46,16.143,13.242,0.016,18.335,0.263,g
2459649.78970,2022-03-11.2896403,bG,1.49,16.141,13.263,0.016,17.982,0.267,g
2459649.79100,2022-03-11.2909408,bG,1.41,16.158,13.245,0.016,18.274,0.261,g
2459649.82516,2022-03-11.3250917,bG,1.45,16.150,13.242,0.016,18.343,0.261,g
2459649.82646,2022-03-11.3263940,bG,1.45,16.172,13.247,0.015,18.241,0.255,g
2459649.82776,2022-03-11.3276901,bG,1.42,16.237,13.264,0.015,17.972,0.246,g
2459650.83394,2022-03-12.3337790,bk,1.45,16.241,13.240,0.015,18.373,0.241,g
2459650.83518,2022-03-12.3350207,bk,1.43,16.327,13.236,0.014,18.428,0.228,g
2459650.83643,2022-03-12.3362673,bk,1.40,16.210,13.226,0.014,18.612,0.243,g
2459650.88231,2022-03-12.3821453,bk,1.46,16.283,13.220,0.014,18.701,0.235,g
2459650.88355,2022-03-12.3833861,bk,1.41,16.303,13.259,0.014,18.042,0.234,g
2459650.88479,2022-03-12.3846313,bk,1.41,16.312,13.236,0.014,18.428,0.230,g
2459651.84269,2022-03-13.3424369,bk,1.49,16.268,13.216,0.014,18.773,0.240,g
2459651.84392,2022-03-13.3436774,bk,1.44,16.200,13.239,0.014,18.382,0.248,g
2459651.84519,2022-03-13.3449321,bk,1.43,16.284,13.210,0.014,18.875,0.233,g
2459652.80169,2022-03-14.3013538,bG,1.45,16.111,13.191,0.016,19.217,0.273,g
2459652.80298,2022-03-14.3026380,bG,1.42,16.195,13.192,0.015,19.197,0.252,g
2459652.80428,2022-03-14.3039371,bG,1.45,16.117,13.214,0.016,18.814,0.270,g
2459652.88837,2022-03-14.3880126,bk,1.43,16.234,13.185,0.014,19.324,0.249,g
2459652.88961,2022-03-14.3892539,bk,1.46,16.230,13.225,0.015,18.624,0.244,g
2459652.89085,2022-03-14.3904968,bk,1.44,16.299,13.199,0.014,19.067,0.229,g
2459654.48885,2022-03-15.9883493,bo,1.52,15.688,13.177,0.022,19.456,0.393,g
2459654.49011,2022-03-15.9896075,bo,1.55,15.659,13.242,0.024,18.334,0.400,g
2459654.49136,2022-03-15.9908586,bo,1.56,15.623,13.240,0.024,18.367,0.415,g
2459655.73500,2022-03-17.2343734,bG,1.50,15.648,13.264,0.024,17.976,0.407,g
2459655.73630,2022-03-17.2356717,bG,1.50,15.634,13.221,0.025,18.694,0.417,g
2459655.73758,2022-03-17.2369688,bG,1.53,15.643,13.297,0.026,17.418,0.411,g
2459656.75634,2022-03-18.2556255,bG,1.44,15.661,13.304,0.025,17.310,0.402,g
2459656.75763,2022-03-18.2569211,bG,1.45,15.683,13.270,0.025,17.870,0.396,g
2459656.75893,2022-03-18.2582189,bG,1.52,15.837,13.264,0.021,17.971,0.346,g
2459656.78079,2022-03-18.2800733,bG,1.42,15.770,13.261,0.023,18.015,0.366,g
2459656.78209,2022-03-18.2813694,bG,1.40,15.785,13.253,0.022,18.137,0.362,g
2459656.78340,2022-03-18.2826751,bG,1.44,15.770,13.258,0.022,18.061,0.364,g
2459656.80776,2022-03-18.3070325,bG,1.43,15.851,13.246,0.021,18.262,0.343,g
2459656.80904,2022-03-18.3083189,bG,1.44,15.795,13.265,0.022,17.950,0.358,g
2459656.81034,2022-03-18.3096167,bG,1.52,15.878,13.316,0.021,17.118,0.330,g
2459658.74121,2022-03-20.2403092,bk,1.42,15.925,13.214,0.018,18.819,0.316,g
2459658.74245,2022-03-20.2415508,bk,1.41,15.802,13.256,0.022,18.087,0.357,g
2459658.74369,2022-03-20.2427902,bk,1.43,15.640,13.188,0.024,19.258,0.413,g
2459658.79856,2022-03-20.2976533,bk,1.41,15.873,13.273,0.021,17.824,0.336,g
2459658.79982,2022-03-20.2989070,bk,1.49,15.916,13.258,0.020,18.069,0.323,g
2459658.80105,2022-03-20.3001407,bk,1.50,15.868,13.241,0.020,18.358,0.341,g
2459659.82060,2022-03-21.3196028,bk,1.45,15.921,13.224,0.019,18.641,0.321,g
2459659.82185,2022-03-21.3208494,bk,1.42,16.023,13.201,0.017,19.034,0.296,g
2459659.82309,2022-03-21.3220891,bk,1.52,15.857,13.219,0.019,18.725,0.335,g
2459659.85129,2022-03-21.3502851,bG,1.48,16.009,13.166,0.017,19.676,0.298,g
2459659.85260,2022-03-21.3515865,bG,1.50,15.960,13.211,0.017,18.869,0.307,g
2459659.85388,2022-03-21.3528800,bG,1.50,15.917,13.197,0.018,19.121,0.318,g
2459660.81939,2022-03-22.3182980,bk,1.55,15.956,13.183,0.018,19.358,0.314,g
2459660.82064,2022-03-22.3195353,bk,1.95,15.937,13.202,0.019,19.017,0.320,g
2459661.74819,2022-03-23.2469979,bk,1.41,15.994,13.126,0.017,20.402,0.303,g
2459661.74944,2022-03-23.2482538,bk,1.42,16.007,13.127,0.015,20.369,0.292,g
2459661.75069,2022-03-23.2495016,bk,1.48,15.979,13.154,0.017,19.896,0.305,g
2459663.85904,2022-03-25.3576634,bk,1.47,16.062,13.061,0.014,21.673,0.280,g
2459663.86030,2022-03-25.3589204,bk,1.45,16.126,13.037,0.014,22.157,0.271,g
2459663.86155,2022-03-25.3601763,bk,1.46,16.150,13.051,0.014,21.860,0.263,g
2459664.73852,2022-03-26.2370589,bG,1.43,16.045,13.056,0.014,21.757,0.287,g
2459664.73982,2022-03-26.2383545,bG,1.37,16.020,13.071,0.014,21.456,0.291,g
2459664.74113,2022-03-26.2396642,bG,1.45,15.957,13.077,0.016,21.338,0.316,g
2459665.86148,2022-03-27.3599129,bG,1.41,16.164,13.097,0.014,20.950,0.267,g
2459665.86276,2022-03-27.3612019,bG,1.42,16.152,13.118,0.014,20.541,0.268,g
2459665.86406,2022-03-27.3624978,bG,1.42,16.122,13.099,0.014,20.914,0.273,g
2459666.73467,2022-03-28.2330246,bk,1.44,16.218,13.197,0.014,19.102,0.241,g
2459666.73591,2022-03-28.2342737,bk,1.46,16.185,13.175,0.014,19.504,0.252,g
2459666.73718,2022-03-28.2355297,bk,1.54,16.195,13.145,0.014,20.040,0.251,g
2459666.77052,2022-03-28.2688815,bG,1.48,16.127,13.145,0.015,20.053,0.272,g
2459666.77182,2022-03-28.2701820,bG,1.47,16.199,13.188,0.015,19.265,0.254,g
2459666.77312,2022-03-28.2714814,bG,1.51,16.183,13.147,0.014,19.999,0.255,g
2459666.80983,2022-03-28.3081870,bG,1.48,16.153,13.146,0.015,20.032,0.265,g
2459666.81113,2022-03-28.3094875,bG,1.47,16.134,13.142,0.014,20.117,0.262,g
2459666.81242,2022-03-28.3107752,bG,1.47,16.180,13.156,0.014,19.829,0.257,g
2459667.72569,2022-03-29.2239540,bG,1.44,16.160,13.233,0.016,18.499,0.265,g
2459667.72698,2022-03-29.2252560,bG,1.50,16.207,13.251,0.015,18.186,0.257,g
2459667.72828,2022-03-29.2265512,bG,1.47,16.213,13.202,0.015,19.024,0.251,g
2459669.69499,2022-03-31.1930753,bk,2.01,16.159,13.264,0.015,17.978,0.255,g
2459669.69624,2022-03-31.1943289,bk,2.04,16.168,13.272,0.015,17.837,0.255,g
2459669.69749,2022-03-31.1955887,bk,2.03,16.136,13.263,0.015,17.968,0.263,g
2459670.71150,2022-04-01.2095065,bG,1.44,16.175,13.278,0.015,17.743,0.254,g
2459670.71281,2022-04-01.2108120,bG,1.45,16.160,13.284,0.016,17.634,0.260,g
2459670.71411,2022-04-01.2121129,bG,1.44,16.163,13.323,0.017,17.027,0.264,g
2459670.76349,2022-04-01.2614925,bG,1.42,16.145,13.304,0.016,17.316,0.259,g
2459670.76480,2022-04-01.2627943,bG,1.47,16.204,13.292,0.015,17.505,0.246,g
2459670.76609,2022-04-01.2640881,bG,1.43,16.213,13.271,0.015,17.854,0.246,g
2459671.77452,2022-04-02.2724313,bG,1.42,16.158,13.261,0.016,18.008,0.259,g
2459671.77582,2022-04-02.2737259,bG,1.46,16.109,13.272,0.017,17.830,0.274,g
2459671.77712,2022-04-02.2750271,bG,1.44,16.211,13.249,0.015,18.205,0.251,g
2459671.82447,2022-04-02.3223787,bG,1.43,16.201,13.302,0.016,17.333,0.251,g
2459671.82577,2022-04-02.3236810,bG,1.44,16.227,13.268,0.015,17.900,0.244,g
2459671.82707,2022-04-02.3249736,bG,1.51,16.251,13.271,0.015,17.852,0.240,g
2459671.84193,2022-04-02.3398342,bk,1.43,16.285,13.298,0.015,17.417,0.231,g
2459671.84317,2022-04-02.3410806,bk,1.48,16.270,13.318,0.015,17.088,0.237,g
2459671.84442,2022-04-02.3423189,bk,1.42,16.333,13.283,0.013,17.659,0.219,g
2459673.44127,2022-04-03.9390378,bo,1.55,15.893,13.220,0.019,18.693,0.325,g
2459673.44253,2022-04-03.9402864,bo,1.50,15.902,13.232,0.019,18.506,0.322,g
2459673.44379,2022-04-03.9415516,bo,1.47,15.952,13.218,0.019,18.743,0.312,g
2459674.67594,2022-04-05.1735961,bk,1.49,16.232,13.237,0.014,18.414,0.239,g
2459674.67717,2022-04-05.1748331,bk,1.46,16.237,13.212,0.013,18.862,0.238,g
2459674.67844,2022-04-05.1760901,bk,1.44,16.236,13.209,0.014,18.891,0.246,g
2459675.69404,2022-04-06.1916084,bG,1.49,16.139,13.195,0.014,19.147,0.262,g
2459675.69533,2022-04-06.1928925,bG,1.48,16.173,13.202,0.015,19.020,0.262,g
2459675.69662,2022-04-06.1941857,bG,1.46,16.098,13.181,0.016,19.396,0.282,g
2459675.69760,2022-04-06.1951657,bk,1.43,16.249,13.231,0.015,18.530,0.240,g
2459675.69884,2022-04-06.1964097,bk,1.44,16.184,13.213,0.014,18.835,0.248,g
2459675.70008,2022-04-06.1976561,bk,1.47,16.170,13.189,0.015,19.253,0.258,g
2459676.68877,2022-04-07.1862479,bk,1.44,16.197,13.190,0.014,19.240,0.248,g
2459676.69000,2022-04-07.1874840,bk,1.51,16.180,13.184,0.014,19.342,0.251,g
2459676.69125,2022-04-07.1887364,bk,1.44,16.202,13.210,0.014,18.882,0.245,g
2459677.68626,2022-04-08.1836663,bG,1.42,16.199,13.230,0.014,18.544,0.248,g
2459677.68756,2022-04-08.1849606,bG,1.45,16.190,13.252,0.015,18.159,0.250,g
2459677.68885,2022-04-08.1862465,bG,1.50,16.126,13.214,0.016,18.814,0.271,g
2459678.68213,2022-04-09.1794524,bG,1.45,16.178,13.284,0.016,17.649,0.258,g
2459678.68343,2022-04-09.1807539,bG,1.46,16.136,13.235,0.016,18.441,0.267,g
2459678.68474,2022-04-09.1820603,bG,1.48,16.150,13.239,0.016,18.382,0.262,g
2459679.68043,2022-04-10.1776631,bG,1.44,16.069,13.259,0.017,18.053,0.280,g
2459679.68173,2022-04-10.1789685,bG,1.42,16.126,13.278,0.017,17.727,0.269,g
2459679.68303,2022-04-10.1802629,bG,1.46,16.105,13.273,0.017,17.818,0.275,g
2459681.66123,2022-04-12.1582994,bG,1.45,15.940,13.254,0.019,18.138,0.316,g
2459681.66252,2022-04-12.1595910,bG,1.44,15.970,13.222,0.018,18.676,0.307,g
2459681.66382,2022-04-12.1608925,bG,1.43,15.907,13.240,0.020,18.354,0.324,g
2459682.66943,2022-04-13.1664162,bk,1.53,15.974,13.185,0.017,19.311,0.305,g
2459682.67067,2022-04-13.1676629,bk,1.48,16.007,13.216,0.017,18.767,0.296,g
2459682.67192,2022-04-13.1689024,bk,1.51,15.907,13.198,0.018,19.078,0.321,g
2459682.70503,2022-04-13.2020192,bG,1.42,15.965,13.182,0.017,19.377,0.306,g
2459682.70632,2022-04-13.2033125,bG,1.52,15.995,13.167,0.017,19.648,0.304,g
2459682.70763,2022-04-13.2046185,bG,1.46,16.063,13.178,0.016,19.438,0.288,g
2459683.72561,2022-04-14.2225146,bk,1.54,15.918,13.153,0.017,19.909,0.317,g
2459683.72685,2022-04-14.2237586,bk,1.57,15.884,13.143,0.018,20.082,0.329,g
2459683.72810,2022-04-14.2250074,bk,1.96,15.931,13.154,0.017,19.896,0.315,g
2459684.76111,2022-04-15.2579344,bk,1.50,15.990,13.138,0.016,20.177,0.299,g
2459684.76235,2022-04-15.2591797,bk,1.54,15.904,13.096,0.017,20.973,0.332,g
2459684.76360,2022-04-15.2604296,bk,1.52,15.883,13.133,0.018,20.267,0.337,g
2459684.78388,2022-04-15.2807060,bk,2.02,15.847,13.092,0.018,21.053,0.347,g
2459684.78512,2022-04-15.2819453,bk,2.02,15.851,13.101,0.018,20.876,0.347,g
2459684.78638,2022-04-15.2832001,bk,2.02,15.900,13.100,0.018,20.897,0.334,g
2459686.71420,2022-04-17.2108773,bG,1.46,15.681,13.086,0.020,21.167,0.396,g
2459686.71550,2022-04-17.2121762,bG,1.45,15.755,13.097,0.020,20.947,0.378,g
2459686.71679,2022-04-17.2134623,bG,1.46,15.758,13.056,0.019,21.762,0.372,g
2459686.75769,2022-04-17.2543634,bk,1.94,15.601,13.024,0.021,22.413,0.430,g
2459686.75894,2022-04-17.2556184,bk,1.97,15.604,13.091,0.023,21.077,0.427,g
2459686.76018,2022-04-17.2568567,bk,1.96,15.629,13.104,0.022,20.820,0.418,g
2459686.81957,2022-04-17.3162420,bG,1.53,15.694,13.049,0.020,21.910,0.396,g
2459686.82087,2022-04-17.3175396,bG,1.39,15.861,13.064,0.018,21.598,0.343,g
2459686.82217,2022-04-17.3188379,bG,1.42,15.752,13.061,0.018,21.656,0.371,g
2459686.85695,2022-04-17.3536146,bk,1.92,15.739,13.061,0.019,21.658,0.375,g
2459686.85819,2022-04-17.3548528,bk,1.47,15.775,13.110,0.020,20.706,0.368,g
2459686.85943,2022-04-17.3560980,bk,1.93,15.690,13.051,0.019,21.867,0.391,g
2459687.66893,2022-04-18.1655407,bo,2.06,14.869,13.352,0.057,16.571,0.858,g
2459687.67017,2022-04-18.1667802,bo,2.35,14.458,13.126,0.068,20.392,1.252,g
2459687.67141,2022-04-18.1680207,bo,2.22,14.580,13.347,0.074,16.642,1.123,g
2459691.77854,2022-04-22.2748487,bG,1.45,16.078,13.274,0.018,17.797,0.286,g
2459691.77985,2022-04-22.2761503,bG,1.53,16.084,13.317,0.017,17.109,0.274,g
2459691.78114,2022-04-22.2774430,bG,1.44,15.993,13.262,0.019,17.994,0.305,g
2459692.74414,2022-04-23.2403813,bk,1.50,16.240,13.286,0.014,17.595,0.237,g
2459692.74537,2022-04-23.2416115,bk,1.45,16.103,13.237,0.016,18.407,0.267,g
2459692.74660,2022-04-23.2428403,bk,1.49,16.129,13.291,0.016,17.533,0.263,g
2459693.80271,2022-04-24.2988732,bG,1.42,16.201,13.288,0.016,17.565,0.254,g
2459693.80400,2022-04-24.3001599,bG,1.54,16.146,13.271,0.016,17.852,0.261,g
2459693.80527,2022-04-24.3014452,bG,1.56,16.132,13.286,0.016,17.599,0.263,g
2459694.85350,2022-04-25.3495925,bG,1.44,16.183,13.250,0.016,18.202,0.258,g
2459694.85479,2022-04-25.3508746,bG,1.42,16.127,13.274,0.017,17.791,0.269,g
2459694.85608,2022-04-25.3521642,bG,1.42,16.138,13.256,0.016,18.085,0.270,g
2459695.78076,2022-04-26.2767966,bG,1.42,16.140,13.226,0.015,18.615,0.260,g
2459695.78206,2022-04-26.2781009,bG,1.41,16.155,13.238,0.016,18.392,0.260,g
2459695.78335,2022-04-26.2793822,bG,1.42,16.103,13.241,0.017,18.343,0.274,g
2459696.75521,2022-04-27.2511797,bG,1.45,16.159,13.209,0.015,18.897,0.264,g
2459696.75650,2022-04-27.2524619,bG,1.46,16.198,13.218,0.015,18.753,0.251,g
2459696.75779,2022-04-27.2537652,bG,1.48,16.168,13.215,0.015,18.784,0.262,g
2459697.88283,2022-04-28.3787240,bG,1.42,16.131,13.213,0.016,18.823,0.268,g
2459697.88412,2022-04-28.3800140,bG,1.49,16.148,13.195,0.015,19.154,0.261,g
2459697.88540,2022-04-28.3813009,bG,1.44,16.152,13.234,0.016,18.476,0.265,g
2459698.83035,2022-04-29.3261846,bG,1.45,16.184,13.225,0.014,18.617,0.252,g
2459698.83164,2022-04-29.3274755,bG,1.46,16.114,13.201,0.016,19.030,0.273,g
2459698.83293,2022-04-29.3287703,bG,1.48,16.184,13.219,0.014,18.724,0.249,g
2459699.84564,2022-04-30.3414069,bG,1.41,15.876,13.222,0.020,18.665,0.334,g
2459699.84694,2022-04-30.3427116,bG,1.42,15.740,13.242,0.023,18.328,0.379,g
2459699.84825,2022-04-30.3440119,bG,1.41,15.465,13.253,0.028,18.161,0.480,g
2459700.71327,2022-05-01.2089875,bk,1.48,16.301,13.267,0.014,17.918,0.231,g
2459700.71451,2022-05-01.2102307,bk,1.46,16.353,13.279,0.014,17.712,0.218,g
2459700.71574,2022-05-01.2114673,bk,1.43,16.269,13.254,0.015,18.123,0.239,g
2459700.78015,2022-05-01.2758597,bk,1.48,16.203,13.273,0.016,17.815,0.251,g
2459700.78139,2022-05-01.2771021,bk,1.53,16.234,13.253,0.014,18.140,0.241,g
2459700.78263,2022-05-01.2783440,bk,1.56,16.296,13.283,0.015,17.648,0.233,g
2459702.51391,2022-05-03.0095194,bo,1.52,16.096,13.318,0.019,17.096,0.293,g
2459702.51519,2022-05-03.0107975,bo,1.47,16.079,13.329,0.018,16.912,0.286,g
2459702.51644,2022-05-03.0120424,bo,1.49,15.948,13.269,0.020,17.873,0.319,g
2459703.60266,2022-05-04.0982131,bG,1.45,16.090,13.256,0.017,18.086,0.278,g
2459703.60394,2022-05-04.0994961,bG,1.43,16.180,13.266,0.016,17.933,0.260,g
2459703.60524,2022-05-04.1007950,bG,1.47,16.149,13.302,0.017,17.359,0.263,g
2459703.65012,2022-05-04.1456753,bG,1.51,16.175,13.260,0.016,18.039,0.255,g
2459703.65142,2022-05-04.1469643,bG,1.50,16.165,13.287,0.016,17.595,0.259,g
2459703.65269,2022-05-04.1482481,bG,1.51,16.160,13.277,0.016,17.750,0.262,g
2459704.63410,2022-05-05.1295920,bG,1.43,16.151,13.265,0.016,17.955,0.263,g
2459704.63539,2022-05-05.1308840,bG,1.43,16.165,13.222,0.015,18.676,0.262,g
2459704.63670,2022-05-05.1321938,bG,1.45,16.124,13.268,0.017,17.891,0.273,g
2459705.77722,2022-05-06.2726542,bG,1.46,15.317,13.145,0.031,20.047,0.559,g
2459705.77851,2022-05-06.2739478,bG,1.51,15.576,13.155,0.024,19.871,0.435,g
2459705.77980,2022-05-06.2752280,bG,1.50,15.572,13.141,0.023,20.124,0.437,g
2459706.60412,2022-05-07.0995049,bk,1.48,16.141,13.134,0.015,20.243,0.267,g
2459706.60537,2022-05-07.1007535,bk,1.48,16.106,13.103,0.014,20.828,0.269,g
2459706.60662,2022-05-07.1020092,bk,1.47,16.179,13.123,0.014,20.459,0.255,g
2459708.66104,2022-05-09.1563209,bk,1.50,16.104,13.038,0.013,22.126,0.269,g
2459708.66229,2022-05-09.1575717,bk,1.52,16.139,13.041,0.014,22.062,0.267,g
2459708.66354,2022-05-09.1588182,bk,1.45,16.164,13.088,0.013,21.133,0.257,g
2459710.58800,2022-05-11.0831855,bG,1.38,15.922,13.094,0.017,21.006,0.325,g
2459710.58931,2022-05-11.0844888,bG,1.45,15.901,13.100,0.018,20.891,0.331,g
2459710.59061,2022-05-11.0857885,bG,1.46,15.995,13.071,0.016,21.467,0.307,g
2459711.72398,2022-05-12.2191158,bG,1.40,16.017,13.141,0.016,20.112,0.300,g
2459711.72528,2022-05-12.2204175,bG,1.47,16.017,13.143,0.016,20.087,0.294,g
2459711.72658,2022-05-12.2217093,bG,1.43,16.019,13.115,0.016,20.611,0.300,g
2459714.40899,2022-05-14.9040135,bo,1.47,15.478,13.328,0.031,16.942,0.477,g
2459714.41025,2022-05-14.9052587,bo,1.42,15.433,13.313,0.031,17.168,0.494,g
2459714.41148,2022-05-14.9064969,bo,1.51,15.645,13.344,0.027,16.699,0.411,g
2459715.61913,2022-05-16.1140957,bk,1.43,15.930,13.299,0.020,17.387,0.318,g
2459715.62037,2022-05-16.1153350,bk,1.47,15.944,13.278,0.020,17.730,0.314,g
2459715.62162,2022-05-16.1165862,bk,1.51,15.793,13.322,0.022,17.040,0.356,g
2459715.63439,2022-05-16.1293498,bk,1.49,16.197,13.285,0.016,17.623,0.253,g
2459715.63562,2022-05-16.1305868,bk,1.51,16.201,13.299,0.016,17.386,0.251,g
2459715.63687,2022-05-16.1318321,bk,1.50,16.213,13.265,0.015,17.957,0.249,g
2459719.80336,2022-05-20.2981741,bk,1.53,16.045,13.243,0.017,18.318,0.284,g
2459719.80460,2022-05-20.2994112,bk,1.48,16.024,13.212,0.016,18.851,0.289,g
2459719.80584,2022-05-20.3006562,bk,1.43,16.092,13.268,0.016,17.907,0.271,g
2459721.87293,2022-05-22.3676741,bk,1.50,16.203,13.256,0.014,18.091,0.247,g
2459721.87417,2022-05-22.3689203,bk,1.50,16.174,13.272,0.016,17.830,0.255,g
2459721.87543,2022-05-22.3701715,bk,1.52,16.256,13.276,0.015,17.762,0.237,g
2459722.69439,2022-05-23.1891082,bk,1.41,16.271,13.252,0.015,18.164,0.235,g
2459722.69563,2022-05-23.1903502,bk,1.44,16.259,13.269,0.014,17.884,0.235,g
2459722.69689,2022-05-23.1916010,bk,1.46,16.297,13.294,0.014,17.467,0.226,g
2459723.86780,2022-05-24.3624877,bG,1.48,15.408,13.296,0.032,17.438,0.508,g
2459723.86910,2022-05-24.3637767,bG,1.44,15.475,13.271,0.029,17.841,0.475,g
2459723.87038,2022-05-24.3650716,bG,1.43,15.641,13.260,0.024,18.031,0.410,g
2459724.69373,2022-05-25.1883850,bk,1.50,16.121,13.307,0.016,17.268,0.265,g
2459724.69497,2022-05-25.1896347,bk,1.44,16.050,13.291,0.018,17.534,0.287,g
2459724.69622,2022-05-25.1908762,bk,1.49,15.814,13.281,0.021,17.683,0.346,g
2459724.72788,2022-05-25.2225372,bk,1.45,15.998,13.311,0.018,17.193,0.296,g
2459724.72911,2022-05-25.2237685,bk,1.42,16.093,13.272,0.017,17.836,0.275,g
2459724.73034,2022-05-25.2249961,bk,1.42,15.885,13.284,0.020,17.639,0.324,g
2459725.81760,2022-05-26.3122283,bk,1.44,16.299,13.327,0.015,16.964,0.230,g
2459725.81884,2022-05-26.3134653,bk,1.51,16.324,13.305,0.014,17.286,0.221,g
2459725.82009,2022-05-26.3147282,bk,1.48,16.336,13.308,0.013,17.255,0.220,g
2459726.75071,2022-05-27.2453282,bk,1.51,16.258,13.279,0.014,17.718,0.234,g
2459726.75197,2022-05-27.2465804,bk,1.43,16.330,13.290,0.013,17.555,0.219,g
2459726.75322,2022-05-27.2478302,bk,1.47,16.322,13.304,0.014,17.321,0.221,g
2459726.76544,2022-05-27.2600465,bk,1.42,16.288,13.279,0.014,17.712,0.229,g
2459726.76669,2022-05-27.2612942,bk,1.42,16.307,13.221,0.014,18.692,0.228,g
2459726.76793,2022-05-27.2625420,bk,1.55,16.297,13.256,0.013,18.087,0.225,g
2459727.38866,2022-05-27.8832469,bo,1.44,16.051,13.245,0.017,18.270,0.287,g
2459727.38988,2022-05-27.8844855,bo,1.47,16.000,13.273,0.019,17.808,0.299,g
2459727.39114,2022-05-27.8857262,bo,1.45,16.017,13.278,0.019,17.733,0.293,g
2459729.44007,2022-05-29.9346201,bo,1.48,15.916,13.118,0.018,20.560,0.324,g
2459729.44132,2022-05-29.9358734,bo,1.57,15.904,13.145,0.018,20.031,0.328,g
2459729.44257,2022-05-29.9371260,bo,1.45,15.917,13.106,0.017,20.771,0.324,g
2459730.35360,2022-05-30.8481344,bo,1.51,15.912,13.111,0.017,20.685,0.319,g
2459730.35541,2022-05-30.8499539,bo,1.55,15.994,13.145,0.016,20.032,0.300,g
2459736.56713,2022-06-06.0615783,bG,1.44,16.128,13.229,0.016,18.560,0.268,g
2459736.56841,2022-06-06.0628665,bG,1.51,16.147,13.251,0.015,18.184,0.261,g
2459736.56971,2022-06-06.0641650,bG,1.50,16.126,13.259,0.017,18.049,0.267,g
2459738.50725,2022-06-08.0016943,bG,1.43,16.005,13.353,0.020,16.550,0.298,g
2459738.50854,2022-06-08.0029850,bG,1.40,16.029,13.301,0.018,17.355,0.290,g
2459738.50984,2022-06-08.0042761,bG,1.49,15.976,13.288,0.019,17.569,0.306,g
2459739.87051,2022-06-09.3649443,bk,1.50,16.279,13.267,0.014,17.912,0.230,g
2459739.87175,2022-06-09.3661827,bk,1.50,16.233,13.286,0.015,17.599,0.242,g
2459739.87300,2022-06-09.3674351,bk,1.47,16.249,13.278,0.014,17.724,0.236,g
2459740.31855,2022-06-09.8129876,bo,1.38,15.752,13.302,0.023,17.353,0.369,g
2459740.31981,2022-06-09.8142375,bo,1.43,15.896,13.287,0.021,17.594,0.327,g
2459740.32105,2022-06-09.8154782,bo,1.51,15.690,13.282,0.024,17.660,0.392,g
2459740.36040,2022-06-09.8548415,bo,1.42,15.844,13.291,0.022,17.519,0.343,g
2459740.36164,2022-06-09.8560789,bo,1.45,15.894,13.277,0.021,17.756,0.328,g
2459740.36289,2022-06-09.8573243,bo,1.42,15.794,13.263,0.021,17.980,0.357,g
2459741.55818,2022-06-11.0526207,bk,2.01,15.996,13.262,0.019,18.011,0.301,g
2459741.55945,2022-06-11.0538752,bk,2.00,15.892,13.283,0.021,17.659,0.330,g
2459741.56068,2022-06-11.0551148,bk,1.99,15.997,13.237,0.018,18.424,0.301,g
2459742.57339,2022-06-12.0678216,bk,1.45,15.888,13.289,0.021,17.556,0.330,g
2459742.57465,2022-06-12.0690751,bk,1.39,15.888,13.204,0.018,18.969,0.325,g
2459742.57588,2022-06-12.0703113,bk,1.45,15.927,13.200,0.019,19.063,0.321,g
2459742.58486,2022-06-12.0792922,bk,1.50,15.896,13.280,0.020,17.700,0.324,g
2459742.58610,2022-06-12.0805354,bk,1.49,15.930,13.251,0.019,18.183,0.313,g
2459742.58735,2022-06-12.0817795,bk,1.45,15.869,13.263,0.020,17.990,0.330,g
2459742.65855,2022-06-12.1529797,bG,1.50,15.917,13.239,0.020,18.384,0.327,g
2459742.65984,2022-06-12.1542677,bG,1.49,15.958,13.277,0.020,17.747,0.310,g
2459742.66115,2022-06-12.1555790,bG,1.45,15.892,13.243,0.020,18.316,0.330,g
2459743.69414,2022-06-13.1885748,bk,1.92,15.908,13.258,0.020,18.066,0.325,g
