HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459318.45229,2021-04-13.9491988,bo,1.47,16.057,13.269,0.018,17.885,0.284,g
2459318.45352,2021-04-13.9504276,bo,1.43,16.001,13.252,0.018,18.162,0.301,g
2459318.45476,2021-04-13.9516575,bo,1.48,16.012,13.278,0.018,17.740,0.293,g
2459319.65174,2021-04-15.1485556,bG,1.44,16.066,13.261,0.017,18.019,0.286,g
2459319.65302,2021-04-15.1498377,bG,1.44,15.944,13.249,0.019,18.214,0.315,g
2459319.65431,2021-04-15.1511175,bG,1.46,16.013,13.215,0.018,18.787,0.295,g
2459319.69393,2021-04-15.1907392,bk,1.42,16.064,13.240,0.016,18.362,0.276,g
2459319.69517,2021-04-15.1919712,bk,1.37,16.080,13.229,0.016,18.559,0.274,g
2459319.69639,2021-04-15.1931978,bk,1.45,16.095,13.220,0.015,18.713,0.268,g
2459320.82518,2021-04-16.3218998,bk,1.41,16.102,13.221,0.015,18.698,0.268,g
2459320.82640,2021-04-16.3231289,bk,1.50,16.111,13.243,0.016,18.313,0.264,g
2459320.82763,2021-04-16.3243493,bk,1.44,16.150,13.228,0.015,18.573,0.255,g
2459321.85384,2021-04-17.3504861,bk,1.42,16.065,13.177,0.015,19.474,0.279,g
2459321.85506,2021-04-17.3517100,bk,1.43,16.145,13.171,0.014,19.576,0.258,g
2459321.85629,2021-04-17.3529401,bk,1.52,16.077,13.189,0.015,19.252,0.274,g
2459321.86888,2021-04-17.3655224,bk,1.48,16.105,13.179,0.015,19.423,0.268,g
2459321.87010,2021-04-17.3667370,bk,1.47,16.111,13.179,0.015,19.438,0.264,g
2459321.87134,2021-04-17.3679813,bk,1.41,16.099,13.180,0.015,19.403,0.272,g
2459323.39172,2021-04-18.8882554,bo,1.39,15.313,13.279,0.037,17.713,0.599,g
2459323.39296,2021-04-18.8894888,bo,1.42,15.403,13.216,0.036,18.774,0.619,g
2459323.39419,2021-04-18.8907155,bo,1.42,15.876,13.158,0.019,19.812,0.337,g
2459323.64612,2021-04-19.1426283,bG,1.38,15.979,13.094,0.016,20.994,0.310,g
2459323.64740,2021-04-19.1439049,bG,1.42,15.934,13.135,0.018,20.224,0.324,g
2459323.64868,2021-04-19.1451940,bG,1.37,15.935,13.191,0.018,19.218,0.321,g
2459324.76108,2021-04-20.2575122,bG,1.44,15.968,13.157,0.017,19.818,0.307,g
2459324.76237,2021-04-20.2587903,bG,1.44,16.006,13.155,0.017,19.865,0.302,g
2459324.76363,2021-04-20.2600609,bG,1.46,16.040,13.147,0.016,20.014,0.295,g
2459325.85309,2021-04-21.3494365,bG,1.49,99.990,99.990,99.990,99.990,99.990,g
2459325.85436,2021-04-21.3507107,bG,1.44,15.954,13.163,0.017,19.726,0.310,g
2459325.85562,2021-04-21.3519733,bG,1.47,99.990,99.990,99.990,99.990,99.990,g
2459326.83530,2021-04-22.3315855,bk,1.50,16.098,13.203,0.015,19.011,0.269,g
2459326.83654,2021-04-22.3328156,bk,1.50,16.097,13.185,0.015,19.322,0.270,g
2459326.83776,2021-04-22.3340457,bk,1.46,16.099,13.215,0.015,18.793,0.271,g
2459327.64161,2021-04-23.1378373,bk,1.68,15.699,13.203,0.022,19.018,0.388,g
2459327.64283,2021-04-23.1390670,bk,1.58,15.703,13.245,0.023,18.278,0.387,g
2459327.64406,2021-04-23.1402957,bk,1.61,15.653,13.245,0.024,18.273,0.403,g
2459327.66856,2021-04-23.1647814,bG,1.48,15.864,13.233,0.020,18.496,0.336,g
2459327.66985,2021-04-23.1660667,bG,1.48,15.852,13.228,0.020,18.582,0.342,g
2459327.67112,2021-04-23.1673427,bG,1.43,15.797,13.227,0.021,18.591,0.360,g
2459328.65731,2021-04-24.1534708,bk,1.40,15.890,13.319,0.020,17.077,0.323,g
2459328.65854,2021-04-24.1547037,bk,1.45,15.749,13.312,0.023,17.194,0.366,g
2459328.65976,2021-04-24.1559181,bk,1.48,15.843,13.272,0.020,17.846,0.341,g
2459329.70359,2021-04-25.1996716,bk,1.49,15.811,13.305,0.022,17.308,0.348,g
2459329.70481,2021-04-25.2008924,bk,1.53,15.828,13.277,0.021,17.749,0.344,g
2459329.70604,2021-04-25.2021203,bk,1.61,15.841,13.300,0.021,17.383,0.339,g
2459329.88423,2021-04-25.3803042,bG,1.49,16.056,13.291,0.017,17.516,0.282,g
2459329.88551,2021-04-25.3815837,bG,1.41,15.999,13.338,0.020,16.791,0.298,g
2459329.88680,2021-04-25.3828697,bG,1.44,15.947,13.270,0.019,17.871,0.311,g
2459330.61677,2021-04-26.1127896,bG,1.56,15.550,13.290,0.027,17.541,0.444,g
2459330.61805,2021-04-26.1140768,bG,1.57,15.393,13.376,0.034,16.209,0.512,g
2459330.61934,2021-04-26.1153657,bG,1.40,15.348,13.331,0.034,16.899,0.533,g
2459330.73221,2021-04-26.2282231,bk,1.44,15.654,13.347,0.026,16.635,0.401,g
2459330.73344,2021-04-26.2294506,bk,1.47,15.740,13.328,0.024,16.926,0.370,g
2459330.73466,2021-04-26.2306689,bk,1.50,15.660,13.337,0.026,16.784,0.399,g
2459330.85148,2021-04-26.3474831,bG,1.47,15.675,13.329,0.025,16.921,0.396,g
2459330.85275,2021-04-26.3487634,bG,1.43,15.698,13.319,0.024,17.078,0.388,g
2459330.85403,2021-04-26.3500375,bG,1.42,15.622,13.291,0.026,17.523,0.417,g
2459332.71665,2021-04-28.2125370,bG,1.56,15.434,13.236,0.029,18.430,0.493,g
2459332.71794,2021-04-28.2138200,bG,1.55,15.505,13.331,0.030,16.887,0.462,g
2459332.71921,2021-04-28.2150953,bG,1.56,15.583,13.195,0.025,19.151,0.434,g
2459332.77980,2021-04-28.2756744,bk,1.51,15.596,13.255,0.025,18.115,0.422,g
2459332.78101,2021-04-28.2768903,bk,1.44,15.603,13.285,0.026,17.617,0.424,g
2459332.78224,2021-04-28.2781203,bk,1.47,15.603,13.280,0.026,17.712,0.421,g
2459332.82137,2021-04-28.3172497,bk,1.45,15.560,13.296,0.027,17.448,0.437,g
2459332.82261,2021-04-28.3184880,bk,1.44,15.677,13.297,0.024,17.430,0.397,g
2459332.82384,2021-04-28.3197170,bk,1.41,15.609,13.308,0.026,17.251,0.420,g
2459333.70518,2021-04-29.2010054,bG,1.45,15.594,13.290,0.026,17.546,0.428,g
2459333.70646,2021-04-29.2022841,bG,1.48,15.525,13.261,0.027,18.002,0.456,g
2459333.70775,2021-04-29.2035704,bG,1.41,15.433,13.277,0.030,17.759,0.495,g
2459337.42564,2021-05-02.9212344,bo,2.50,15.989,13.215,0.018,18.810,0.314,g
2459337.42691,2021-05-02.9225104,bo,2.49,15.845,13.219,0.020,18.735,0.347,g
2459339.61658,2021-05-05.1120618,bk,2.04,15.919,13.233,0.018,18.480,0.317,g
2459339.61780,2021-05-05.1132836,bk,2.04,15.978,13.215,0.017,18.784,0.303,g
2459339.61905,2021-05-05.1145278,bk,2.04,16.017,13.231,0.017,18.536,0.293,g
2459340.88156,2021-05-06.3769702,bk,1.43,16.142,13.288,0.016,17.581,0.257,g
2459340.88279,2021-05-06.3782002,bk,1.49,16.101,13.274,0.016,17.810,0.269,g
2459340.88401,2021-05-06.3794150,bk,1.46,16.127,13.284,0.016,17.638,0.264,g
2459343.48174,2021-05-08.9770127,bo,1.43,16.107,13.230,0.016,18.536,0.273,g
2459343.48299,2021-05-08.9782568,bo,1.46,16.075,13.256,0.016,18.102,0.276,g
2459343.48422,2021-05-08.9794927,bo,1.47,16.101,13.232,0.017,18.497,0.273,g
2459343.49394,2021-05-08.9892091,bo,1.45,16.142,13.245,0.015,18.290,0.261,g
2459343.49517,2021-05-08.9904369,bo,1.41,16.070,13.156,0.016,19.840,0.281,g
2459343.49640,2021-05-08.9916644,bo,1.50,16.045,13.224,0.016,18.638,0.285,g
2459344.33980,2021-05-09.8350289,bo,1.49,16.053,13.162,0.016,19.724,0.287,g
2459344.34103,2021-05-09.8362605,bo,1.40,16.059,13.227,0.016,18.586,0.282,g
2459344.34227,2021-05-09.8374998,bo,1.41,15.989,13.153,0.016,19.900,0.297,g
2459344.57928,2021-05-10.0745005,bG,1.50,14.421,13.240,0.076,18.369,1.271,g
2459344.58057,2021-05-10.0757881,bG,1.45,14.085,13.334,0.111,16.844,1.707,g
2459344.58185,2021-05-10.0770736,bG,1.53,13.863,13.491,0.158,14.580,2.111,g
2459344.83160,2021-05-10.3268004,bG,1.40,15.830,13.165,0.019,19.687,0.345,g
2459344.83287,2021-05-10.328075,bG,1.47,15.685,13.178,0.022,19.451,0.395,g
2459344.83416,2021-05-10.3293618,bG,1.48,15.526,13.166,0.025,19.658,0.453,g
2459345.87593,2021-05-11.3710878,bk,1.55,16.013,13.170,0.016,19.592,0.293,g
2459345.87715,2021-05-11.3723012,bk,1.52,16.059,13.152,0.015,19.927,0.283,g
2459345.87837,2021-05-11.3735226,bk,1.63,16.025,13.135,0.015,20.226,0.289,g
2459346.63404,2021-05-12.1291583,bk,1.47,16.018,13.096,0.015,20.968,0.290,g
2459346.63526,2021-05-12.1303802,bk,1.48,16.051,13.138,0.015,20.179,0.284,g
2459346.63648,2021-05-12.1316043,bk,1.50,16.073,13.109,0.014,20.720,0.277,g
2459346.68309,2021-05-12.1782065,bk,1.46,16.082,13.126,0.014,20.391,0.273,g
2459346.68432,2021-05-12.1794449,bk,1.42,16.068,13.120,0.014,20.502,0.278,g
2459346.68557,2021-05-12.1806856,bk,1.43,16.062,13.101,0.014,20.865,0.280,g
2459347.58687,2021-05-13.0819581,bk,2.07,15.489,13.245,0.035,18.275,0.590,g
2459347.58811,2021-05-13.0831907,bk,2.10,15.602,13.082,0.027,21.241,0.523,g
2459347.58934,2021-05-13.0844211,bk,1.98,14.290,13.206,0.082,18.958,1.422,g
2459347.73471,2021-05-13.2297865,bk,1.44,15.902,13.191,0.019,19.210,0.325,g
2459347.73594,2021-05-13.2310141,bk,1.45,15.612,13.199,0.024,19.073,0.422,g
2459347.73717,2021-05-13.2322467,bk,1.47,14.817,13.301,0.056,17.358,0.899,g
2459348.84031,2021-05-14.3353303,bk,1.44,16.148,13.163,0.014,19.701,0.258,g
2459348.84153,2021-05-14.3365604,bk,1.44,16.121,13.187,0.015,19.281,0.262,g
2459348.84276,2021-05-14.3377869,bk,1.41,16.094,13.207,0.015,18.943,0.270,g
2459350.60507,2021-05-16.1000164,bk,1.48,16.083,13.250,0.016,18.193,0.271,g
2459350.60629,2021-05-16.1012429,bk,1.46,16.050,13.219,0.016,18.731,0.280,g
2459350.60750,2021-05-16.1024508,bk,1.49,16.064,13.251,0.016,18.183,0.278,g
2459351.37217,2021-05-16.8670893,bo,1.44,16.096,13.280,0.016,17.701,0.271,g
2459351.37340,2021-05-16.8683187,bo,1.47,16.049,13.269,0.018,17.892,0.288,g
2459351.37463,2021-05-16.8695510,bo,1.45,16.051,13.270,0.018,17.865,0.288,g
2459351.42519,2021-05-16.9201091,bo,1.47,16.070,13.293,0.018,17.484,0.281,g
2459351.42642,2021-05-16.9213376,bo,1.47,16.050,13.301,0.017,17.358,0.282,g
2459351.42764,2021-05-16.9225651,bo,1.46,16.118,13.257,0.017,18.074,0.270,g
2459351.56313,2021-05-17.0580405,bG,1.48,15.960,13.270,0.019,17.864,0.309,g
2459351.56441,2021-05-17.0593233,bG,1.48,15.937,13.236,0.018,18.432,0.314,g
2459351.56567,2021-05-17.0605907,bG,1.42,15.922,13.227,0.019,18.596,0.327,g
2459351.71133,2021-05-17.2062431,bG,1.46,16.041,13.241,0.018,18.343,0.290,g
2459351.71262,2021-05-17.2075325,bG,1.47,16.032,13.252,0.017,18.155,0.289,g
2459351.71390,2021-05-17.2088158,bG,1.49,16.035,13.248,0.018,18.236,0.294,g
2459351.79339,2021-05-17.2882997,bk,1.41,16.179,13.281,0.015,17.684,0.252,g
2459351.79462,2021-05-17.2895204,bk,1.45,16.151,13.285,0.016,17.608,0.257,g
2459351.79583,2021-05-17.2907445,bk,1.44,16.113,13.288,0.016,17.586,0.265,g
2459351.83138,2021-05-17.3262906,bk,1.47,16.143,13.288,0.016,17.565,0.259,g
2459351.83262,2021-05-17.3275208,bk,1.44,16.106,13.224,0.015,18.651,0.268,g
2459351.83383,2021-05-17.3287490,bk,1.49,16.122,13.258,0.016,18.064,0.264,g
2459353.76768,2021-05-19.2625142,bG,1.45,14.604,13.125,0.056,20.406,1.049,g
2459353.76895,2021-05-19.2637850,bG,1.48,14.543,13.122,0.059,20.459,1.113,g
2459353.77023,2021-05-19.2650659,bG,1.47,14.399,13.195,0.072,19.141,1.268,g
