hjd,camera,mag,mag_err,flux,flux_err
2458175.82767,bg,12.574,0.02,35.834,0.659
2457790.85224,bg,12.36,0.02,43.659,0.803
2458212.74945,bg,12.48,0.02,39.071,0.719
2457612.60445,bg,12.444,0.02,40.407,0.743
2457845.81355,bg,12.588,0.02,35.39,0.651
2457889.65922,bg,12.576,0.02,35.772,0.658
2458183.78803,bg,12.584,0.02,35.516,0.653
2458367.61124,bg,12.459,0.02,39.834,0.733
2457486.8424,bg,12.572,0.02,35.914,0.661
2457778.87711,bg,12.609,0.02,34.693,0.638
2458324.66352,bg,12.468,0.02,39.516,0.727
2457813.8001,bg,12.4,0.02,42.076,0.774
2457865.76424,bg,12.567,0.02,36.053,0.663
2457869.83481,bg,12.584,0.02,35.516,0.653
2458309.77557,bg,12.627,0.02,34.137,0.628
2458171.81878,bg,12.505,0.02,38.196,0.703
2457805.869,bg,12.554,0.02,36.516,0.672
2458029.52007,bg,12.564,0.02,36.176,0.666
2457910.67792,bg,12.574,0.02,35.835,0.659
2457784.86694,bg,12.505,0.02,38.187,0.703
2457964.68804,bg,12.496,0.02,38.491,0.708
2458190.84687,bg,12.547,0.02,36.752,0.676
2457573.66306,bg,12.669,0.02,32.848,0.604
2458352.67727,bg,12.532,0.02,37.266,0.686
2457934.56545,bg,12.61,0.02,34.653,0.638
2457625.6002,bg,12.507,0.02,38.114,0.701
2458181.79331,bg,12.556,0.02,36.436,0.67
2457659.51786,bg,12.549,0.02,36.669,0.675
2457825.77106,bg,12.564,0.02,36.156,0.665
2457639.49498,bg,12.659,0.02,33.138,0.61
2458338.72063,bg,12.534,0.02,37.188,0.684
2457522.82709,bg,12.417,0.02,41.428,0.762
2457915.67399,bg,12.587,0.02,35.397,0.651
2458345.6992,bg,12.469,0.02,39.473,0.726
2457853.69655,bg,12.449,0.02,40.209,0.74
2457969.70871,bg,12.404,0.02,41.923,0.771
2457900.71664,bg,12.387,0.02,42.574,0.783
2457801.87967,bg,12.585,0.02,35.463,0.653
2458015.58704,bg,12.458,0.02,39.863,0.733
2458243.8489,bg,12.618,0.02,34.398,0.633
2458188.89118,bg,12.496,0.02,38.488,0.708
2457616.5576,bg,12.652,0.02,33.354,0.614
2458244.87482,bg,12.598,0.02,35.061,0.645
2457782.86383,bg,12.547,0.02,36.742,0.676
2458208.75245,bg,12.562,0.02,36.243,0.667
2458206.8373,bg,12.569,0.02,35.994,0.662
2457923.60897,bg,12.405,0.02,41.869,0.77
2458342.70618,bg,12.536,0.02,37.118,0.683
2457952.66987,bg,12.539,0.02,36.999,0.681
2458011.57748,bg,12.458,0.02,39.885,0.734
2457585.60483,bg,12.317,0.02,45.402,0.835
2457669.51008,bg,12.565,0.02,36.142,0.665
2457787.86166,bg,12.399,0.02,42.088,0.774
2457662.50689,bg,12.663,0.02,33.015,0.607
